word;x;y;shape;concept
Bíl_ ptáci vzlétli.;-0.116026133314;-4.24043365236;*;4
Dvořákov_ operety;5.5258084702;1.65563817995;s;0
Dykov_ poemy;6.75457801634;1.67730350617;s;0
Dívky kreslí sam_.;3.98957629165;-1.23271037707;s;6
Dívky, buďte zdráv_.;5.1037093378;-2.19529617041;s;6
Halasov_ lyrické sloky;4.7378469955;1.11285226152;s;0
Jiráskov_ hrdinové;-2.02440971831;-6.93234909792;*;1
Kráčeli nov_mi ulicemi.;0.930803929017;5.5341535518;s;3
Lukášov_ kočky;5.5197313618;0.96138405435;s;0
Martinov_ spolužáci;-1.35952666994;-7.41275401376;*;1
Nevěř lživ_m řečem.;-0.0176884897893;4.94234307155;s;3
Novákov_ koláže;3.58508566119;1.27343875131;s;0
Pavlovov_ reflexy;5.21909461808;0.461596679365;s;0
Příchozí byli ohlášeni veselým ps_m štěkotem.;-4.6646722827;-3.6665961155;*;5
Raisov_ Zapadlí vlastenci;-1.50226320628;-7.42063315223;*;1
Rorýs není stěhovav_m ptákem.;-3.17959632132;3.14271011507;s;3
Skupov_ loutky;4.53695567473;3.47836712698;s;0
Učím se ciz_m řečem.;-6.07247210211;-4.50320233457;*;5
V tmavých sklepních bývá nezdrav_ hluk.;-2.84935738455;3.73466504224;s;2
Vykosti ryb_ pokrmy.;-1.26698001695;-0.303685249274;*;4
Zdvořil_ svatebčané odešli.;-0.645270757459;-5.54088385248;*;4
bledolíc_ chlapci;-0.580873838953;-3.53378919787;*;4
bratrov_ hříchy;5.87840975503;1.0590051893;s;0
bíl_ krocani;-1.69063098588;-5.07450355536;*;4
ciz_ člověk;-6.06390147443;-4.47061628493;*;4
do vos_ho hnízda;-3.16278454048;-3.63806037312;*;4
draz_ rodiče;0.638305802042;-4.21437086532;*;4
duhov_ odlesk;3.79508509126;3.76062511573;s;2
děti šly bos_;4.53789315882;-1.374141408;s;6
důvěřiv_ floutci;-0.750062191151;-6.06959905777;*;4
holub_ vejce;-2.4715657916;-0.369307579389;*;4
hověz_ kližky;-5.27518488467;-3.25274769856;*;4
hřejiv_ pocit;2.82598953706;5.15453149069;s;2
jedlým_ pokrmy;-3.78227300001;-5.28421537014;*;6
kos_ zpěv;-3.95122881281;-3.39136979751;*;4
kos_ úhel;-7.10770140487;-2.87690771614;s;2
křiv_ člověk;0.981515585416;1.14118332839;s;2
laskav_ vesničané;-0.0132862224981;-5.24393342098;*;4
leskl_ kapři;0.555753490019;-5.24154963784;*;4
leskl_ slepýši;-4.85044906181;-5.88940048516;*;4
lesklé ryb_ šupiny;-1.65123065907;-0.135622958548;*;4
lidov_ pěvci;-0.196409504253;-6.13375151334;*;4
lékařov_ předpisy;5.03377199155;2.09806713508;s;0
léčiv_ produkt;2.00176592622;4.75887664175;s;2
mal_ jedlíci;-0.931440745104;-4.31458235031;*;4
matčin_ příbuzní;-2.08080001319;-5.86123216977;*;1
mil_ pán;0.898072038921;2.683820724;s;2
na rozlehl_ch sněhových pláních;0.807780952817;6.13019972859;s;3
navykl_ způsob;2.72860298348;3.53247343543;s;2
nevidom_ člověk;0.463057821325;2.20588540627;s;2
nový včel_ produkt;-2.75486236104;-1.47148651689;*;4
o hladov_ch medvědech;-0.328108732848;4.07592414421;s;3
o myslivcov_ch puškách;-1.93927580626;5.51563001053;s;3
o pav_ch perech;-5.64618159728;-2.88391773587;*;5
