system;context;classification;statistics;value
anatom;all;correct;freq;0.7680664855392982
anatom;all;cwa;freq;0.09543360292389015
anatom;all;missing;freq;0.01591367931730655
anatom;all;other;freq;0.030879711876607183
anatom;all;topcwa;freq;0.08970652034289786
anatom;all;correct;wfreq;0.0
anatom;all;cwa;wfreq;0.41146965390402945
anatom;all;missing;wfreq;0.06861310817589032
anatom;all;other;wfreq;0.13314036114362146
anatom;all;topcwa;wfreq;0.3867768767764588
anatom;all;correct;rtime;6.545
anatom;all;cwa;rtime;10.364
anatom;all;missing;rtime;9.2415
anatom;all;other;rtime;10.629
anatom;all;topcwa;rtime;9.268
anatom;all;correct;successN;0.8720127685273057
anatom;all;cwa;successN;0.7207493013067452
anatom;all;missing;successN;0.6798128342245989
anatom;all;other;successN;0.6738733252131547
anatom;all;topcwa;successN;0.7677770424295904
anatom;all;correct;successG;0.8025944924492225
anatom;all;cwa;successG;0.6690918539690789
anatom;all;missing;successG;0.5734710087370929
anatom;all;other;successG;0.6337914308811641
anatom;all;topcwa;successG;0.7021927166547298
anatom;all;correct;leave;0.022760764266893864
anatom;all;cwa;leave;0.038297440065014225
anatom;all;missing;leave;0.05909229363387146
anatom;all;other;leave;0.04968212856133741
anatom;all;topcwa;leave;0.034879636884337935
anatom;all;correct;repetition;0.8720127685273057
anatom;all;cwa;repetition;0.06820756854747337
anatom;all;missing;repetition;0.1270053475935829
anatom;all;other;repetition;0.01979293544457978
anatom;all;topcwa;repetition;0.1309655121700125
