system;context;classification;statistics;value
matmat;all;correct;freq;0.8408845009467135
matmat;all;cwa;freq;0.023302677846902896
matmat;all;missing;freq;0.047491209088450094
matmat;all;other;freq;0.05144711928590749
matmat;all;topcwa;freq;0.036874492832025964
matmat;all;correct;wfreq;0.0
matmat;all;cwa;wfreq;0.1464513387165321
matmat;all;missing;wfreq;0.2984700382490438
matmat;all;other;wfreq;0.32333191670208244
matmat;all;topcwa;wfreq;0.23174670633234168
matmat;all;correct;rtime;7.0
matmat;all;cwa;rtime;9.719999999999999
matmat;all;missing;rtime;4.039
matmat;all;other;rtime;10.8295
matmat;all;topcwa;rtime;8.394
matmat;all;correct;successN;0.9150227617602428
matmat;all;cwa;successN;0.7854251012145749
matmat;all;missing;successN;0.32715477293790546
matmat;all;other;successN;0.8076923076923077
matmat;all;topcwa;successN;0.7478005865102639
matmat;all;correct;successG;0.8958929635629569
matmat;all;cwa;successG;0.7094386181369525
matmat;all;missing;successG;0.3049103663289166
matmat;all;other;successG;0.5936375413847704
matmat;all;topcwa;successG;0.748046875
matmat;all;correct;leave;0.044953759549658225
matmat;all;cwa;leave;0.0632617527568195
matmat;all;missing;leave;0.09084436850348854
matmat;all;other;leave;0.09069400630914827
matmat;all;topcwa;leave;0.06675224646983312
matmat;all;correct;repetition;0.9191415564708433
matmat;all;cwa;repetition;0.08097165991902834
matmat;all;missing;repetition;0.9518072289156626
matmat;all;other;repetition;0.009615384615384616
matmat;all;topcwa;repetition;0.16715542521994134
matmat;numbers;correct;freq;0.8481939959335008
matmat;numbers;cwa;freq;0.038452338237052984
matmat;numbers;missing;freq;0.042339433082167206
matmat;numbers;other;freq;0.02885420404257864
matmat;numbers;topcwa;freq;0.0421600287047004
matmat;numbers;correct;wfreq;0.0
matmat;numbers;cwa;wfreq;0.25329919243647825
matmat;numbers;missing;wfreq;0.2789048650778019
matmat;numbers;other;wfreq;0.19007287768367145
matmat;numbers;topcwa;wfreq;0.27772306480204845
matmat;numbers;correct;rtime;6.9879999999999995
matmat;numbers;cwa;rtime;10.0
matmat;numbers;missing;rtime;5.157500000000001
matmat;numbers;other;rtime;11.07
matmat;numbers;topcwa;rtime;6.523999999999999
matmat;numbers;correct;successN;0.9131147540983606
matmat;numbers;cwa;successN;0.8356164383561644
matmat;numbers;missing;successN;0.4186046511627907
matmat;numbers;other;successN;0.8073394495412844
matmat;numbers;topcwa;successN;0.7795698924731183
matmat;numbers;correct;successG;0.9043884148907678
matmat;numbers;cwa;successG;0.7383015597920277
matmat;numbers;missing;successG;0.32842287694974004
matmat;numbers;other;successG;0.5857988165680473
matmat;numbers;topcwa;successG;0.7908082408874801
matmat;numbers;correct;leave;0.044312052737335635
matmat;numbers;cwa;leave;0.06376360808709176
matmat;numbers;missing;leave;0.12146892655367232
matmat;numbers;other;leave;0.07875647668393783
matmat;numbers;topcwa;leave;0.06808510638297872
matmat;numbers;correct;repetition;0.9108196721311476
matmat;numbers;cwa;repetition;0.04794520547945205
matmat;numbers;missing;repetition;0.46511627906976744
matmat;numbers;other;repetition;0.01834862385321101
matmat;numbers;topcwa;repetition;0.16129032258064516
matmat;addition;correct;freq;0.8684161597917608
matmat;addition;cwa;freq;0.010040107306966984
matmat;addition;missing;freq;0.03973545114080055
matmat;addition;other;freq;0.05182076549177933
matmat;addition;topcwa;freq;0.029987516268692397
matmat;addition;correct;wfreq;0.0
matmat;addition;cwa;wfreq;0.0763019781994348
matmat;addition;missing;wfreq;0.30197819943480014
matmat;addition;other;wfreq;0.39382317319337906
matmat;addition;topcwa;wfreq;0.22789664917238595
matmat;addition;correct;rtime;7.3260000000000005
matmat;addition;cwa;rtime;10.0
matmat;addition;missing;rtime;3.242
matmat;addition;other;rtime;10.505
matmat;addition;topcwa;rtime;9.439
matmat;addition;correct;successN;0.9299719887955182
matmat;addition;cwa;successN;1.0
matmat;addition;missing;successN;0.3069306930693069
matmat;addition;other;successN;0.782608695652174
matmat;addition;topcwa;successN;0.8695652173913043
matmat;addition;correct;successG;0.9172886622310784
matmat;addition;cwa;successG;0.7699115044247787
matmat;addition;missing;successG;0.2709677419354839
matmat;addition;other;successG;0.6269368295589988
matmat;addition;topcwa;successG;0.7130089374379345
matmat;addition;correct;leave;0.0430035173573941
matmat;addition;cwa;leave;0.06878306878306878
matmat;addition;missing;leave;0.10561497326203209
matmat;addition;other;leave;0.09533572526909277
matmat;addition;topcwa;leave;0.06908768821966342
matmat;addition;correct;repetition;0.9299719887955182
