system;context;classification;statistics;value
slepemapy;all;correct;freq;0.7039513248915662
slepemapy;all;cwa;freq;0.09389713318125162
slepemapy;all;missing;freq;0.04620641229375737
slepemapy;all;other;freq;0.09683954482994957
slepemapy;all;topcwa;freq;0.059105584803475254
slepemapy;all;correct;wfreq;0.0
slepemapy;all;cwa;wfreq;0.3171678885131301
slepemapy;all;missing;wfreq;0.15607707846297011
slepemapy;all;other;wfreq;0.32710683401802126
slepemapy;all;topcwa;wfreq;0.1996481990058785
slepemapy;all;correct;rtime;3.926
slepemapy;all;cwa;rtime;6.019
slepemapy;all;missing;rtime;4.91
slepemapy;all;other;rtime;6.5024999999999995
slepemapy;all;topcwa;rtime;5.606
slepemapy;all;correct;successN;0.9017880809195984
slepemapy;all;cwa;successN;0.6297540737936366
slepemapy;all;missing;successN;0.49247774025176544
slepemapy;all;other;successN;0.5102880658436214
slepemapy;all;topcwa;successN;0.7022162053750501
slepemapy;all;correct;successG;0.7893195846938487
slepemapy;all;cwa;successG;0.572508814594159
slepemapy;all;missing;successG;0.4067565914235028
slepemapy;all;other;successG;0.45250573444441217
slepemapy;all;topcwa;successG;0.6245125478669212
slepemapy;all;correct;leave;0.01272186666284858
slepemapy;all;cwa;leave;0.018756127407131767
slepemapy;all;missing;leave;0.025826716691388186
slepemapy;all;other;leave;0.024382459061892868
slepemapy;all;topcwa;leave;0.01788251878630788
slepemapy;all;correct;repetition;0.9017880809195984
slepemapy;all;cwa;repetition;0.09401668953985456
slepemapy;all;missing;repetition;0.24524101934295364
slepemapy;all;other;repetition;0.04213840056133963
slepemapy;all;topcwa;repetition;0.13929001203369434
slepemapy;United States-state;correct;freq;0.6572933915399669
slepemapy;United States-state;cwa;freq;0.09668824326358573
slepemapy;United States-state;missing;freq;0.03430678910130965
slepemapy;United States-state;other;freq;0.16039440012042752
slepemapy;United States-state;topcwa;freq;0.05131717597471022
slepemapy;United States-state;correct;wfreq;0.0
slepemapy;United States-state;cwa;wfreq;0.28213124835280684
slepemapy;United States-state;missing;wfreq;0.10010542036370025
slepemapy;United States-state;other;wfreq;0.4680224896775894
slepemapy;United States-state;topcwa;wfreq;0.14974084160590354
slepemapy;United States-state;correct;rtime;3.622
slepemapy;United States-state;cwa;rtime;5.48
slepemapy;United States-state;missing;rtime;4.536
slepemapy;United States-state;other;rtime;5.625
slepemapy;United States-state;topcwa;rtime;5.102
slepemapy;United States-state;correct;successN;0.8985266947747407
slepemapy;United States-state;cwa;successN;0.6026615969581749
slepemapy;United States-state;missing;successN;0.43330179754020814
slepemapy;United States-state;other;successN;0.48194856577645895
slepemapy;United States-state;topcwa;successN;0.6918982850384388
slepemapy;United States-state;correct;successG;0.7854697603651578
slepemapy;United States-state;cwa;successG;0.5334900117508813
slepemapy;United States-state;missing;successG;0.3997995991983968
slepemapy;United States-state;other;successG;0.4188459044737411
slepemapy;United States-state;topcwa;successG;0.5712939698492462
slepemapy;United States-state;correct;leave;0.011428178820080615
slepemapy;United States-state;cwa;leave;0.01681457262961233
slepemapy;United States-state;missing;leave;0.02369460289600702
slepemapy;United States-state;other;leave;0.018395119662130456
slepemapy;United States-state;topcwa;leave;0.015547081255500146
slepemapy;United States-state;correct;repetition;0.8985266947747407
slepemapy;United States-state;cwa;repetition;0.11216730038022814
slepemapy;United States-state;missing;repetition;0.2403027436140019
slepemapy;United States-state;other;repetition;0.056132542037586546
slepemapy;United States-state;topcwa;repetition;0.1277350680070964
slepemapy;United States-city;correct;freq;0.47972523820075336
slepemapy;United States-city;cwa;freq;0.1894526922224684
slepemapy;United States-city;missing;freq;0.08907600265898516
slepemapy;United States-city;other;freq;0.14868158652780855
slepemapy;United States-city;topcwa;freq;0.0930644803899845
slepemapy;United States-city;correct;wfreq;0.0
slepemapy;United States-city;cwa;wfreq;0.3641396933560477
slepemapy;United States-city;missing;wfreq;0.17120954003407154
slepemapy;United States-city;other;wfreq;0.28577512776831343
slepemapy;United States-city;topcwa;wfreq;0.1788756388415673
slepemapy;United States-city;correct;rtime;4.493
slepemapy;United States-city;cwa;rtime;6.318
slepemapy;United States-city;missing;rtime;4.598000000000001
slepemapy;United States-city;other;rtime;6.96
slepemapy;United States-city;topcwa;rtime;5.785
slepemapy;United States-city;correct;successN;0.80078125
slepemapy;United States-city;cwa;successN;0.5475285171102662
slepemapy;United States-city;missing;successN;0.36
slepemapy;United States-city;other;successN;0.4378698224852071
slepemapy;United States-city;topcwa;successN;0.5620915032679739
slepemapy;United States-city;correct;successG;0.5998013902681232
slepemapy;United States-city;cwa;successG;0.4602739726027397
slepemapy;United States-city;missing;successG;0.31176470588235294
slepemapy;United States-city;other;successG;0.4144144144144144
slepemapy;United States-city;topcwa;successG;0.4879356568364611
slepemapy;United States-city;correct;leave;0.010623556581986143
slepemapy;United States-city;cwa;leave;0.016374269005847954
slepemapy;United States-city;missing;leave;0.022388059701492536
slepemapy;United States-city;other;leave;0.02533532041728763
slepemapy;United States-city;topcwa;leave;0.007142857142857143
slepemapy;United States-city;correct;repetition;0.80078125
slepemapy;United States-city;cwa;repetition;0.09885931558935361
slepemapy;United States-city;missing;repetition;0.28
slepemapy;United States-city;other;repetition;0.011834319526627219
slepemapy;United States-city;topcwa;repetition;0.23529411764705882
slepemapy;Czech Rep.-river;correct;freq;0.7448451552170698
slepemapy;Czech Rep.-river;cwa;freq;0.07906311327628479
slepemapy;Czech Rep.-river;missing;freq;0.048014380913379465
slepemapy;Czech Rep.-river;other;freq;0.07141527546575757
slepemapy;Czech Rep.-river;topcwa;freq;0.05666207512750828
slepemapy;Czech Rep.-river;correct;wfreq;0.0
slepemapy;Czech Rep.-river;cwa;wfreq;0.30986326496581623
slepemapy;Czech Rep.-river;missing;wfreq;0.1881774220443555
slepemapy;Czech Rep.-river;other;wfreq;0.27988994497248626
slepemapy;Czech Rep.-river;topcwa;wfreq;0.222069368017342
slepemapy;Czech Rep.-river;correct;rtime;4.762
slepemapy;Czech Rep.-river;cwa;rtime;7.98
slepemapy;Czech Rep.-river;missing;rtime;5.8965
slepemapy;Czech Rep.-river;other;rtime;8.0775
slepemapy;Czech Rep.-river;topcwa;rtime;6.7965
slepemapy;Czech Rep.-river;correct;successN;0.9008427858111814
slepemapy;Czech Rep.-river;cwa;successN;0.6219960765080922
slepemapy;Czech Rep.-river;missing;successN;0.5408368762586708
slepemapy;Czech Rep.-river;other;successN;0.5284356828818607
slepemapy;Czech Rep.-river;topcwa;successN;0.7101377952755905
slepemapy;Czech Rep.-river;correct;successG;0.8338889475510235
slepemapy;Czech Rep.-river;cwa;successG;0.5971826873950806
slepemapy;Czech Rep.-river;missing;successG;0.39591836734693875
slepemapy;Czech Rep.-river;other;successG;0.48788328387734914
slepemapy;Czech Rep.-river;topcwa;successG;0.6588601869534627
slepemapy;Czech Rep.-river;correct;leave;0.017029510678252924
slepemapy;Czech Rep.-river;cwa;leave;0.022669177990044396
slepemapy;Czech Rep.-river;missing;leave;0.032565352237483386
slepemapy;Czech Rep.-river;other;leave;0.029862972892463507
slepemapy;Czech Rep.-river;topcwa;leave;0.020274075464614228
slepemapy;Czech Rep.-river;correct;repetition;0.9008427858111814
slepemapy;Czech Rep.-river;cwa;repetition;0.08607160372731731
slepemapy;Czech Rep.-river;missing;repetition;0.2215260684716939
slepemapy;Czech Rep.-river;other;repetition;0.044107218834207915
slepemapy;Czech Rep.-river;topcwa;repetition;0.14320866141732283
slepemapy;Czech Rep.-mountains;correct;freq;0.7213955522774638
slepemapy;Czech Rep.-mountains;cwa;freq;0.10716215404934862
